_________________________________________________________________
|---N of Coord--|-------x-------|-------y-------|-------z-------|
|            345|       -255.623|       -130.501|              0|
|            346|       -204.343|       -130.501|              0|
|            347|        -163.32|       -130.501|              0|
|            348|       -130.501|       -130.501|              0|
|            349|       -104.246|       -130.501|              0|
|            350|       -83.2423|       -130.501|              0|
|            351|       -66.4392|       -130.501|              0|
|            352|       -52.9966|       -130.501|              0|
|            353|       -42.2426|       -130.501|              0|
|            354|       -33.6394|       -130.501|              0|
|            355|       -26.7568|       -130.501|              0|
|            356|       -21.2507|       -130.501|              0|
|            357|       -16.8459|       -130.501|              0|
|            358|        -13.322|       -130.501|              0|
|            359|       -10.5029|       -130.501|              0|
|            360|       -8.24761|       -130.501|              0|
|            361|       -6.44338|       -130.501|              0|
|            362|             -5|       -130.501|              0|
|            363|          -4.25|       -130.501|              0|
|            364|           -3.5|       -130.501|              0|
|            365|          -2.75|       -130.501|              0|
|            366|             -2|       -130.501|              0|
|            367|           -1.5|       -130.501|              0|
|            368|             -1|       -130.501|              0|
|            369|           -0.5|       -130.501|              0|
|            370|              0|       -130.501|              0|
|            371|            0.5|       -130.501|              0|
|            372|              1|       -130.501|              0|
|            373|            1.5|       -130.501|              0|
|            374|              2|       -130.501|              0|
|            375|           2.75|       -130.501|              0|
|            376|            3.5|       -130.501|              0|
|            377|           4.25|       -130.501|              0|
|            378|              5|       -130.501|              0|
|            379|        7.65148|       -130.501|              0|
|            380|        10.8333|       -130.501|              0|
|            381|        14.6514|       -130.501|              0|
|            382|        19.2332|       -130.501|              0|
|            383|        24.7313|       -130.501|              0|
|            384|         31.329|       -130.501|              0|
|            385|        39.2463|       -130.501|              0|
|            386|         48.747|       -130.501|              0|
|            387|        60.1479|       -130.501|              0|
|            388|         73.829|       -130.501|              0|
|            389|        90.2463|       -130.501|              0|
|            390|        109.947|       -130.501|              0|
|            391|        133.588|       -130.501|              0|
|            392|        161.957|       -130.501|              0|
|            393|            196|       -130.501|              0|
|            394|        236.851|       -130.501|              0|
|            395|        285.873|       -130.501|              0|
|            396|        344.699|       -130.501|              0|
|            397|         415.29|       -130.501|              0|
|            398|            500|       -130.501|              0|
|            399|           -500|       -104.246|              0|
|            400|       -399.845|       -104.246|              0|
|            401|       -319.722|       -104.246|              0|
|            402|       -255.623|       -104.246|              0|
|            403|       -204.343|       -104.246|              0|
|            404|        -163.32|       -104.246|              0|
|            405|       -130.501|       -104.246|              0|
|            406|       -104.246|       -104.246|              0|
|            407|       -83.2423|       -104.246|              0|
|            408|       -66.4392|       -104.246|              0|
|            409|       -52.9966|       -104.246|              0|
|            410|       -42.2426|       -104.246|              0|
|            411|       -33.6394|       -104.246|              0|
|            412|       -26.7568|       -104.246|              0|
|            413|       -21.2507|       -104.246|              0|
|            414|       -16.8459|       -104.246|              0|
|            415|        -13.322|       -104.246|              0|
|            416|       -10.5029|       -104.246|              0|
|            417|       -8.24761|       -104.246|              0|
|            418|       -6.44338|       -104.246|              0|
|            419|             -5|       -104.246|              0|
|            420|          -4.25|       -104.246|              0|
|            421|           -3.5|       -104.246|              0|
|            422|          -2.75|       -104.246|              0|
|            423|             -2|       -104.246|              0|
|            424|           -1.5|       -104.246|              0|
|            425|             -1|       -104.246|              0|
|            426|           -0.5|       -104.246|              0|
|            427|              0|       -104.246|              0|
|            428|            0.5|       -104.246|              0|
|            429|              1|       -104.246|              0|
|            430|            1.5|       -104.246|              0|
|            431|              2|       -104.246|              0|
|            432|           2.75|       -104.246|              0|
|            433|            3.5|       -104.246|              0|
|            434|           4.25|       -104.246|              0|
|            435|              5|       -104.246|              0|
|            436|        7.65148|       -104.246|              0|
|            437|        10.8333|       -104.246|              0|
|            438|        14.6514|       -104.246|              0|
|            439|        19.2332|       -104.246|              0|
|            440|        24.7313|       -104.246|              0|
|            441|         31.329|       -104.246|              0|
|            442|        39.2463|       -104.246|              0|
|            443|         48.747|       -104.246|              0|
|            444|        60.1479|       -104.246|              0|
|            445|         73.829|       -104.246|              0|
|            446|        90.2463|       -104.246|              0|
|            447|        109.947|       -104.246|              0|
|            448|        133.588|       -104.246|              0|
|            449|        161.957|       -104.246|              0|
|            450|            196|       -104.246|              0|
|            451|        236.851|       -104.246|              0|
|            452|        285.873|       -104.246|              0|
|            453|        344.699|       -104.246|              0|
|            454|         415.29|       -104.246|              0|
|            455|            500|       -104.246|              0|
|            456|           -500|       -83.2423|              0|
|            457|       -399.845|       -83.2423|              0|
|            458|       -319.722|       -83.2423|              0|
|            459|       -255.623|       -83.2423|              0|
|            460|       -204.343|       -83.2423|              0|
|            461|        -163.32|       -83.2423|              0|
|            462|       -130.501|       -83.2423|              0|
|            463|       -104.246|       -83.2423|              0|
|            464|       -83.2423|       -83.2423|              0|
|            465|       -66.4392|       -83.2423|              0|
|            466|       -52.9966|       -83.2423|              0|
|            467|       -42.2426|       -83.2423|              0|
|            468|       -33.6394|       -83.2423|              0|
|            469|       -26.7568|       -83.2423|              0|
|            470|       -21.2507|       -83.2423|              0|
|            471|       -16.8459|       -83.2423|              0|
|            472|        -13.322|       -83.2423|              0|
|            473|       -10.5029|       -83.2423|              0|
|            474|       -8.24761|       -83.2423|              0|
|            475|       -6.44338|       -83.2423|              0|
|            476|             -5|       -83.2423|              0|
|            477|          -4.25|       -83.2423|              0|
|            478|           -3.5|       -83.2423|              0|
|            479|          -2.75|       -83.2423|              0|
|            480|             -2|       -83.2423|              0|
|            481|           -1.5|       -83.2423|              0|
|            482|             -1|       -83.2423|              0|
|            483|           -0.5|       -83.2423|              0|
|            484|              0|       -83.2423|              0|
|            485|            0.5|       -83.2423|              0|
|            486|              1|       -83.2423|              0|
|            487|            1.5|       -83.2423|              0|
|            488|              2|       -83.2423|              0|
|            489|           2.75|       -83.2423|              0|
|            490|            3.5|       -83.2423|              0|
|            491|           4.25|       -83.2423|              0|
|            492|              5|       -83.2423|              0|
|            493|        7.65148|       -83.2423|              0|
|            494|        10.8333|       -83.2423|              0|
