Time 0
_________________________________________________________________
|-------x-------|-------y-------|-------z-------|---Solution----|
|           -3.5|       -255.623|              0|       -47.7868|
|          -2.75|       -255.623|              0|       -47.7933|
|             -2|       -255.623|              0|       -47.7982|
|           -1.5|       -255.623|              0|       -47.8006|
|             -1|       -255.623|              0|       -47.8023|
|           -0.5|       -255.623|              0|       -47.8033|
|              0|       -255.623|              0|       -47.8036|
|            0.5|       -255.623|              0|       -47.8033|
|              1|       -255.623|              0|       -47.8022|
|            1.5|       -255.623|              0|       -47.8004|
|              2|       -255.623|              0|       -47.7979|
|           2.75|       -255.623|              0|       -47.7928|
|            3.5|       -255.623|              0|       -47.7862|
|           4.25|       -255.623|              0|        -47.778|
|              5|       -255.623|              0|       -47.7683|
|        7.65148|       -255.623|              0|       -47.7212|
|        10.8333|       -255.623|              0|       -47.6388|
|        14.6514|       -255.623|              0|       -47.5028|
|        19.2332|       -255.623|              0|       -47.2864|
|        24.7313|       -255.623|              0|       -46.9505|
|         31.329|       -255.623|              0|       -46.4389|
|        39.2463|       -255.623|              0|       -45.6715|
|         48.747|       -255.623|              0|        -44.535|
|        60.1479|       -255.623|              0|       -42.8724|
|         73.829|       -255.623|              0|       -40.4702|
|        90.2463|       -255.623|              0|       -37.0482|
|        109.947|       -255.623|              0|       -32.2536|
|        133.588|       -255.623|              0|       -25.6704|
|        161.957|       -255.623|              0|        -16.851|
|            196|       -255.623|              0|       -5.37453|
|        236.851|       -255.623|              0|        9.08149|
|        285.873|       -255.623|              0|        26.6942|
|        344.699|       -255.623|              0|        47.5345|
|         415.29|       -255.623|              0|        71.7574|
|            500|       -255.623|              0|            100|
|           -500|       -204.343|              0|            100|
|       -399.845|       -204.343|              0|        60.1581|
|       -319.722|       -204.343|              0|        26.3846|
|       -255.623|       -204.343|              0|       -2.50085|
|       -204.343|       -204.343|              0|        -26.568|
|        -163.32|       -204.343|              0|       -45.7737|
|       -130.501|       -204.343|              0|        -60.382|
|       -104.246|       -204.343|              0|       -71.0053|
|       -83.2423|       -204.343|              0|       -78.4455|
|       -66.4392|       -204.343|              0|       -83.5069|
|       -52.9966|       -204.343|              0|       -86.8775|
|       -42.2426|       -204.343|              0|       -89.0885|
|       -33.6394|       -204.343|              0|       -90.5235|
|       -26.7568|       -204.343|              0|       -91.4479|
|       -21.2507|       -204.343|              0|       -92.0402|
|       -16.8459|       -204.343|              0|       -92.4178|
|        -13.322|       -204.343|              0|       -92.6578|
|       -10.5029|       -204.343|              0|       -92.8096|
|       -8.24761|       -204.343|              0|       -92.9053|
|       -6.44338|       -204.343|              0|       -92.9653|
|             -5|       -204.343|              0|       -93.0026|
|          -4.25|       -204.343|              0|       -93.0183|
|           -3.5|       -204.343|              0|       -93.0314|
|          -2.75|       -204.343|              0|        -93.042|
|             -2|       -204.343|              0|         -93.05|
|           -1.5|       -204.343|              0|        -93.054|
|             -1|       -204.343|              0|       -93.0567|
|           -0.5|       -204.343|              0|       -93.0584|
|              0|       -204.343|              0|       -93.0589|
|            0.5|       -204.343|              0|       -93.0583|
|              1|       -204.343|              0|       -93.0566|
|            1.5|       -204.343|              0|       -93.0537|
|              2|       -204.343|              0|       -93.0496|
|           2.75|       -204.343|              0|       -93.0415|
|            3.5|       -204.343|              0|       -93.0308|
|           4.25|       -204.343|              0|       -93.0175|
|              5|       -204.343|              0|       -93.0017|
|        7.65148|       -204.343|              0|       -92.9253|
|        10.8333|       -204.343|              0|       -92.7916|
|        14.6514|       -204.343|              0|        -92.571|
|        19.2332|       -204.343|              0|       -92.2202|
|        24.7313|       -204.343|              0|       -91.6765|
|         31.329|       -204.343|              0|       -90.8504|
|        39.2463|       -204.343|              0|       -89.6154|
|         48.747|       -204.343|              0|       -87.7956|
|        60.1479|       -204.343|              0|        -85.153|
